text,label,word_count
invoice order id  10543 customer id  lilas order date  2017-05-21 customer details  contact name  carlos gonzález address  carrera 52 con ave. bolívar  65-98 llano largo city  barquisimeto postal code  3508 country  venezuela phone   9  331-6954 fax   9  331-7256 product details  product id product name quantity unit price 12 queso manchego la pastora 30 38 0 23 tunnbröd 70 9 0 totalprice 1770 0 page 1,invoice,65
"invoice order id  10885 customer id  suprd order date  2018-02-12 customer details  contact name  pascale cartrain address  boulevard tirou, 255 city  charleroi postal code  b-6000 country  belgium phone   071  23 67 22 20 fax   071  23 67 22 21 product details  product id product name quantity unit price 2 chang 20 19 0 24 guaraná fantástica 12 4 5 70 outback lager 30 15 0 77 original frankfurter grüne soße 25 13 0 totalprice 1209 0 page 1",invoice,78
purchase orders order id order date customer name 10954 2018-03-17 felipe izquierdo products product id  product  quantity  unit price  16 pavlova 28 17 45 31 gorgonzola telino 25 12 5 45 rogede sild 30 9 5 60 camembert pierrot 24 34 page 1,purchase Order,43
purchase orders order id order date customer name 10731 2017-11-06 yang wang products product id  product  quantity  unit price  21 sir rodney s scones 40 10 51 manjimup dried apples 30 53 page 1,purchase Order,34
order id  10863 shipping details  ship name  hilarion-abastos ship address  carrera 22 con ave. carlos soublette  8-35 ship city  san cristóbal ship region  south america ship postal code  5022 ship country  venezuela customer details  customer id  hilaa customer name  hilarion-abastos employee details  employee name  margaret peacock shipper details  shipper id  2 shipper name  united package order details  order date  2018-02-02 shipped date  2018-02-17 products  -------------------------------------------------------------------------------------------------- product  chai quantity  20 unit price  18 0 total  360 0 -------------------------------------------------------------------------------------------------- product  escargots de bourgogne quantity  12 unit price  13 25 total  159 0 total price  total price  519 0,ShippingOrder,96
invoice order id  10944 customer id  bottm order date  2018-03-12 customer details  contact name  elizabeth lincoln address  23 tsawassen blvd. city  tsawassen postal code  t2f 8m4 country  canada phone   604  555-4729 fax   604  555-3745 product details  product id product name quantity unit price 11 queso cabrales 5 21 0 44 gula malacca 18 19 45 56 gnocchi di nonna alice 18 38 0 totalprice 1139 1 page 1,invoice,68
stock report for 2016-08 category   condiments id category   2 product units sold units in stock unit price aniseed syrup 30 13 10 chef anton s gumbo mix 20 0 21 35 genen shouyu 20 39 15 5 gula malacca 61 27 19 45 vegie-spread 13 24 43 9 original frankfurter grüne soße 10 32 13,report,55
invoice order id  10977 customer id  folko order date  2018-03-26 customer details  contact name  maria larsson address  åkergatan 24 city  bräcke postal code  s-844 67 country  sweden phone  0695-34 67 21 fax  none product details  product id product name quantity unit price 39 chartreuse verte 30 18 0 47 zaanse koeken 30 9 5 51 manjimup dried apples 10 53 0 63 vegie-spread 20 43 9 totalprice 2233 0 page 1,invoice,71
invoice order id  10396 customer id  frank order date  2016-12-27 customer details  contact name  peter franken address  berliner platz 43 city  münchen postal code  80805 country  germany phone  089-0877310 fax  089-0877451 product details  product id product name quantity unit price 23 tunnbröd 40 7 2 71 flotemysost 60 17 2 72 mozzarella di giovanni 21 27 8 totalprice 1903 8000000000002 page 1,invoice,62
purchase orders order id order date customer name 10589 2017-07-04 howard snyder products product id  product  quantity  unit price  35 steeleye stout 4 18 page 1,purchase Order,26
purchase orders order id order date customer name 10613 2017-07-29 carlos hernández products product id  product  quantity  unit price  13 konbu 8 6 75 rhönbräu klosterbier 40 7 75 page 1,purchase Order,31
invoice order id  10788 customer id  quick order date  2017-12-22 customer details  contact name  horst kloss address  taucherstraße 10 city  cunewalde postal code  01307 country  germany phone  0372-035188 fax  none product details  product id product name quantity unit price 19 teatime chocolate biscuits 50 9 2 75 rhönbräu klosterbier 40 7 75 totalprice 770 0 page 1,invoice,57
purchase orders order id order date customer name 10632 2017-08-14 rita müller products product id  product  quantity  unit price  2 chang 30 19 33 geitost 20 2 5 page 1,purchase Order,30
invoice order id  10264 customer id  folko order date  2016-07-24 customer details  contact name  maria larsson address  åkergatan 24 city  bräcke postal code  s-844 67 country  sweden phone  0695-34 67 21 fax  none product details  product id product name quantity unit price 2 chang 35 15 2 41 jack s new england clam chowder 25 7 7 totalprice 724 5 page 1,invoice,62
purchase orders order id order date customer name 10551 2017-05-28 lino rodriguez products product id  product  quantity  unit price  16 pavlova 40 17 45 35 steeleye stout 20 18 44 gula malacca 40 19 45 page 1,purchase Order,37
order id  10613 shipping details  ship name  hilarion-abastos ship address  carrera 22 con ave. carlos soublette  8-35 ship city  san cristóbal ship region  south america ship postal code  5022 ship country  venezuela customer details  customer id  hilaa customer name  hilarion-abastos employee details  employee name  margaret peacock shipper details  shipper id  2 shipper name  united package order details  order date  2017-07-29 shipped date  2017-08-01 products  -------------------------------------------------------------------------------------------------- product  konbu quantity  8 unit price  6 0 total  48 0 -------------------------------------------------------------------------------------------------- product  rhönbräu klosterbier quantity  40 unit price  7 75 total  310 0 total price  total price  358 0,ShippingOrder,95
purchase orders order id order date customer name 10547 2017-05-23 hari kumar products product id  product  quantity  unit price  32 mascarpone fabioli 24 32 36 inlagd sill 60 19 page 1,purchase Order,31
purchase orders order id order date customer name 10503 2017-04-11 patricia mckenna products product id  product  quantity  unit price  14 tofu 70 23 25 65 louisiana fiery hot pepper sauce 20 21 05 page 1,purchase Order,35
purchase orders order id order date customer name 10645 2017-08-26 mario pontes products product id  product  quantity  unit price  18 carnarvon tigers 20 62 5 36 inlagd sill 15 19 page 1,purchase Order,32
order id  10724 shipping details  ship name  mère paillarde ship address  43 rue st. laurent ship city  montréal ship region  north america ship postal code  h1j 1c3 ship country  canada customer details  customer id  merep customer name  mère paillarde employee details  employee name  laura callahan shipper details  shipper id  2 shipper name  united package order details  order date  2017-10-30 shipped date  2017-11-05 products  -------------------------------------------------------------------------------------------------- product  ikura quantity  16 unit price  31 0 total  496 0 -------------------------------------------------------------------------------------------------- product  sirop d érable quantity  5 unit price  28 5 total  142 5 total price  total price  638 5,ShippingOrder,95
purchase orders order id order date customer name 10308 2016-09-18 ana trujillo products product id  product  quantity  unit price  69 gudbrandsdalsost 1 28 8 70 outback lager 5 12 page 1,purchase Order,31
invoice order id  11064 customer id  savea order date  2018-05-01 customer details  contact name  jose pavarotti address  187 suffolk ln. city  boise postal code  83720 country  usa phone   208  555-8097 fax  none product details  product id product name quantity unit price 17 alice mutton 77 39 0 41 jack s new england clam chowder 12 9 65 53 perth pasties 25 32 8 55 pâté chinois 4 24 0 68 scottish longbreads 55 12 5 totalprice 4722 3 page 1,invoice,80
order id  10485 shipping details  ship name  lino-delicateses ship address  ave. 5 de mayo porlamar ship city  i. de margarita ship region  south america ship postal code  4980 ship country  venezuela customer details  customer id  linod customer name  lino-delicateses employee details  employee name  margaret peacock shipper details  shipper id  2 shipper name  united package order details  order date  2017-03-25 shipped date  2017-03-31 products  -------------------------------------------------------------------------------------------------- product  chang quantity  20 unit price  15 2 total  304 0 -------------------------------------------------------------------------------------------------- product  aniseed syrup quantity  20 unit price  8 0 total  160 0 -------------------------------------------------------------------------------------------------- product  pâté chinois quantity  30 unit price  19 2 total  576 0 -------------------------------------------------------------------------------------------------- product  outback lager quantity  60 unit price  12 0 total  720 0 total price  total price  1760 0,ShippingOrder,120
order id  10490 shipping details  ship name  hilarion-abastos ship address  carrera 22 con ave. carlos soublette  8-35 ship city  san cristóbal ship region  south america ship postal code  5022 ship country  venezuela customer details  customer id  hilaa customer name  hilarion-abastos employee details  employee name  robert king shipper details  shipper id  2 shipper name  united package order details  order date  2017-03-31 shipped date  2017-04-03 products  -------------------------------------------------------------------------------------------------- product  raclette courdavault quantity  60 unit price  44 0 total  2640 0 -------------------------------------------------------------------------------------------------- product  scottish longbreads quantity  30 unit price  10 0 total  300 0 -------------------------------------------------------------------------------------------------- product  rhönbräu klosterbier quantity  36 unit price  6 2 total  223 20000000000002 total price  total price  3163 2,ShippingOrder,109
purchase orders order id order date customer name 10751 2017-11-24 michael holz products product id  product  quantity  unit price  26 gumbär gummibärchen 12 31 23 30 nord-ost matjeshering 30 25 89 50 valkoinen suklaa 20 16 25 73 röd kaviar 15 15 page 1,purchase Order,44
invoice order id  10641 customer id  hilaa order date  2017-08-22 customer details  contact name  carlos hernández address  carrera 22 con ave. carlos soublette  8-35 city  san cristóbal postal code  5022 country  venezuela phone   5  555-1340 fax   5  555-1948 product details  product id product name quantity unit price 2 chang 50 19 0 40 boston crab meat 60 18 4 totalprice 2054 0 page 1,invoice,64
invoice order id  11065 customer id  lilas order date  2018-05-01 customer details  contact name  carlos gonzález address  carrera 52 con ave. bolívar  65-98 llano largo city  barquisimeto postal code  3508 country  venezuela phone   9  331-6954 fax   9  331-7256 product details  product id product name quantity unit price 30 nord-ost matjeshering 4 25 89 54 tourtière 20 7 45 totalprice 252 56 page 1,invoice,63
order id  10878 shipping details  ship name  quick-stop ship address  taucherstraße 10 ship city  cunewalde ship region  western europe ship postal code  1307 ship country  germany customer details  customer id  quick customer name  quick-stop employee details  employee name  margaret peacock shipper details  shipper id  1 shipper name  speedy express order details  order date  2018-02-10 shipped date  2018-02-12 products  -------------------------------------------------------------------------------------------------- product  sir rodney s marmalade quantity  20 unit price  81 0 total  1620 0 total price  total price  1620 0,ShippingOrder,79
"invoice order id  10587 customer id  quede order date  2017-07-02 customer details  contact name  bernardo batista address  rua da panificadora, 12 city  rio de janeiro postal code  02389-673 country  brazil phone   21  555-4252 fax   21  555-4545 product details  product id product name quantity unit price 26 gumbär gummibärchen 6 31 23 35 steeleye stout 20 18 0 77 original frankfurter grüne soße 20 13 0 totalprice 807 38 page 1",invoice,70
purchase orders order id order date customer name 10830 2018-01-13 anabela domingues products product id  product  quantity  unit price  6 grandma s boysenberry spread 6 25 39 chartreuse verte 28 18 60 camembert pierrot 30 34 68 scottish longbreads 24 12 5 page 1,purchase Order,44
"order id  10927 shipping details  ship name  la corne d-abondance ship address  67, avenue de l-europe ship city  versailles ship region  western europe ship postal code  78000 ship country  france customer details  customer id  lacor customer name  la corne d abondance employee details  employee name  margaret peacock shipper details  shipper id  1 shipper name  speedy express order details  order date  2018-03-05 shipped date  2018-04-08 products  -------------------------------------------------------------------------------------------------- product  sir rodney s marmalade quantity  5 unit price  81 0 total  405 0 -------------------------------------------------------------------------------------------------- product  filo mix quantity  5 unit price  7 0 total  35 0 -------------------------------------------------------------------------------------------------- product  lakkalikööri quantity  20 unit price  18 0 total  360 0 total price  total price  800 0",ShippingOrder,111
purchase orders order id order date customer name 10600 2017-07-16 yoshi latimer products product id  product  quantity  unit price  54 tourtière 4 7 45 73 röd kaviar 30 15 page 1,purchase Order,31
order id  10275 shipping details  ship name  magazzini alimentari riuniti ship address  via ludovico il moro 22 ship city  bergamo ship region  southern europe ship postal code  24100 ship country  italy customer details  customer id  magaa customer name  magazzini alimentari riuniti employee details  employee name  nancy davolio shipper details  shipper id  1 shipper name  speedy express order details  order date  2016-08-07 shipped date  2016-08-09 products  -------------------------------------------------------------------------------------------------- product  guaraná fantástica quantity  12 unit price  3 6 total  43 2 -------------------------------------------------------------------------------------------------- product  raclette courdavault quantity  6 unit price  44 0 total  264 0 total price  total price  307 2,ShippingOrder,97
purchase orders order id order date customer name 10987 2018-03-31 ann devon products product id  product  quantity  unit price  7 uncle bob s organic dried pears 60 30 43 ipoh coffee 6 46 72 mozzarella di giovanni 20 34 8 page 1,purchase Order,42
purchase orders order id order date customer name 10647 2017-08-27 bernardo batista products product id  product  quantity  unit price  19 teatime chocolate biscuits 30 9 2 39 chartreuse verte 20 18 page 1,purchase Order,33
order id  10554 shipping details  ship name  ottilies käseladen ship address  mehrheimerstr. 369 ship city  köln ship region  western europe ship postal code  50739 ship country  germany customer details  customer id  ottik customer name  ottilies käseladen employee details  employee name  margaret peacock shipper details  shipper id  3 shipper name  federal shipping order details  order date  2017-05-30 shipped date  2017-06-05 products  -------------------------------------------------------------------------------------------------- product  pavlova quantity  30 unit price  17 45 total  523 5 -------------------------------------------------------------------------------------------------- product  tunnbröd quantity  20 unit price  9 0 total  180 0 -------------------------------------------------------------------------------------------------- product  tarte au sucre quantity  20 unit price  49 3 total  986 0 -------------------------------------------------------------------------------------------------- product  original frankfurter grüne soße quantity  10 unit price  13 0 total  130 0 total price  total price  1819 5,ShippingOrder,119
order id  11001 shipping details  ship name  folk och fä hb ship address  åkergatan 24 ship city  bräcke ship region  northern europe ship postal code  s-844 67 ship country  sweden customer details  customer id  folko customer name  folk och fä hb employee details  employee name  andrew fuller shipper details  shipper id  2 shipper name  united package order details  order date  2018-04-06 shipped date  2018-04-14 products  -------------------------------------------------------------------------------------------------- product  uncle bob s organic dried pears quantity  60 unit price  30 0 total  1800 0 -------------------------------------------------------------------------------------------------- product  gustaf s knäckebröd quantity  25 unit price  21 0 total  525 0 -------------------------------------------------------------------------------------------------- product  spegesild quantity  25 unit price  12 0 total  300 0 -------------------------------------------------------------------------------------------------- product  pâté chinois quantity  6 unit price  24 0 total  144 0 total price  total price  2769 0,ShippingOrder,127
stock report for 2016-10 category product units sold units in stock unit price beverages chang 56 17 19 beverages chartreuse verte 4 69 18 beverages côte de blaye 20 17 263 5 beverages ipoh coffee 40 17 46 beverages lakkalikööri 51 57 18 beverages rhönbräu klosterbier 50 125 7 75 beverages steeleye stout 80 20 18 condiments chef anton s cajun.. 52 53 22 condiments genen shouyu 5 39 15 5 condiments grandma s boysenberry.. 6 120 25 condiments louisiana fiery hot.. 40 76 21 05 condiments vegie-spread 80 24 43 9 confections gumbär gummibärchen 74 15 31 23 confections nunuca nuß-nougat-creme 4 76 14 confections pavlova 21 29 17 45 confections scottish longbreads 24 6 12 5 confections sir rodney s scones 10 3 10 confections tarte au sucre 28 17 49 3 confections teatime chocolate.. 10 25 9 2 confections zaanse koeken 16 36 9 5 dairy products flotemysost 70 26 21 5 dairy products geitost 8 112 2 5 dairy products gorgonzola telino 85 0 12 5 dairy products mascarpone fabioli 6 9 32 dairy products mozzarella di giovanni 90 14 34 8 dairy products queso cabrales 50 22 21 dairy products raclette courdavault 58 79 55 grains cereals filo mix 28 38 7 grains cereals gnocchi di nonna alice 12 21 38 grains cereals ravioli angelo 16 36 19 5 grains cereals singaporean hokkien.. 10 26 14 grains cereals tunnbröd 40 61 9 grains cereals wimmers gute.. 50 22 33 25 meat poultry alice mutton 98 0 39 meat poultry pâté chinois 40 115 24 meat poultry tourtière 15 21 7 45 produce manjimup dried apples 48 20 53 produce rössle sauerkraut 14 26 45 6 produce tofu 19 35 23 25 seafood carnarvon tigers 60 42 62 5 seafood escargots de bourgogne 30 62 13 25 seafood gravad lax 28 11 26 seafood inlagd sill 60 112 19 seafood jack s new england.. 32 85 9 65 seafood konbu 12 24 6 seafood nord-ost matjeshering 58 10 25 89 seafood spegesild 30 95 12,report,339
invoice order id  10371 customer id  lamai order date  2016-12-03 customer details  contact name  annette roulet address  1 rue alsace-lorraine city  toulouse postal code  31000 country  france phone  61 77 61 10 fax  61 77 61 11 product details  product id product name quantity unit price 36 inlagd sill 6 15 2 totalprice 91 19999999999999 page 1,invoice,57
invoice order id  10937 customer id  cactu order date  2018-03-10 customer details  contact name  patricio simpson address  cerrito 333 city  buenos aires postal code  1010 country  argentina phone   1  135-5555 fax   1  135-4892 product details  product id product name quantity unit price 28 rössle sauerkraut 8 45 6 34 sasquatch ale 20 14 0 totalprice 644 8 page 1,invoice,59
invoice order id  10817 customer id  koene order date  2018-01-06 customer details  contact name  philip cramer address  maubelstr. 90 city  brandenburg postal code  14776 country  germany phone  0555-09876 fax  none product details  product id product name quantity unit price 26 gumbär gummibärchen 40 31 23 38 côte de blaye 30 263 5 40 boston crab meat 60 18 4 62 tarte au sucre 25 49 3 totalprice 11490 7 page 1,invoice,71
order id  11021 shipping details  ship name  quick-stop ship address  taucherstraße 10 ship city  cunewalde ship region  western europe ship postal code  1307 ship country  germany customer details  customer id  quick customer name  quick-stop employee details  employee name  janet leverling shipper details  shipper id  1 shipper name  speedy express order details  order date  2018-04-14 shipped date  2018-04-21 products  -------------------------------------------------------------------------------------------------- product  chang quantity  11 unit price  19 0 total  209 0 -------------------------------------------------------------------------------------------------- product  sir rodney s marmalade quantity  15 unit price  81 0 total  1215 0 -------------------------------------------------------------------------------------------------- product  gumbär gummibärchen quantity  63 unit price  31 23 total  1967 49 -------------------------------------------------------------------------------------------------- product  manjimup dried apples quantity  44 unit price  53 0 total  2332 0 -------------------------------------------------------------------------------------------------- product  mozzarella di giovanni quantity  35 unit price  34 8 total  1218 0 total price  total price  6941 49,ShippingOrder,132
stock report for 2017-04 category   confections id category   3 product units sold units in stock unit price pavlova 50 29 17 45 sir rodney s marmalade 39 40 81 sir rodney s scones 52 3 10 nunuca nuß-nougat-creme 78 76 14 schoggi schokolade 120 49 43 9 zaanse koeken 6 36 9 5 chocolade 15 15 12 75 maxilaku 25 10 20 tarte au sucre 3 17 49 3 scottish longbreads 6 6 12 5,report,75
invoice order id  11028 customer id  koene order date  2018-04-16 customer details  contact name  philip cramer address  maubelstr. 90 city  brandenburg postal code  14776 country  germany phone  0555-09876 fax  none product details  product id product name quantity unit price 55 pâté chinois 35 24 0 59 raclette courdavault 24 55 0 totalprice 2160 0 page 1,invoice,56
purchase orders order id order date customer name 10521 2017-04-29 patricio simpson products product id  product  quantity  unit price  35 steeleye stout 3 18 41 jack s new england clam chowder 10 9 65 68 scottish longbreads 6 12 5 page 1,purchase Order,42
"invoice order id  10801 customer id  bolid order date  2017-12-29 customer details  contact name  martín sommer address  c  araquil, 67 city  madrid postal code  28023 country  spain phone   91  555 22 82 fax   91  555 91 99 product details  product id product name quantity unit price 17 alice mutton 40 39 0 29 thüringer rostbratwurst 20 123 79 totalprice 4035 8 page 1",invoice,63
purchase orders order id order date customer name 11039 2018-04-21 felipe izquierdo products product id  product  quantity  unit price  28 rössle sauerkraut 20 45 6 35 steeleye stout 24 18 49 maxilaku 60 20 57 ravioli angelo 28 19 5 page 1,purchase Order,42
purchase orders order id order date customer name 10668 2017-09-15 rita müller products product id  product  quantity  unit price  31 gorgonzola telino 8 12 5 55 pâté chinois 4 24 64 wimmers gute semmelknödel 15 33 25 page 1,purchase Order,39
purchase orders order id order date customer name 10796 2017-12-25 carlos hernández products product id  product  quantity  unit price  26 gumbär gummibärchen 21 31 23 44 gula malacca 10 19 45 64 wimmers gute semmelknödel 35 33 25 69 gudbrandsdalsost 24 36 page 1,purchase Order,44
order id  10615 shipping details  ship name  wilman kala ship address  keskuskatu 45 ship city  helsinki ship region  scandinavia ship postal code  21240 ship country  finland customer details  customer id  wilmk customer name  wilman kala employee details  employee name  andrew fuller shipper details  shipper id  3 shipper name  federal shipping order details  order date  2017-07-30 shipped date  2017-08-06 products  -------------------------------------------------------------------------------------------------- product  pâté chinois quantity  5 unit price  24 0 total  120 0 total price  total price  120 0,ShippingOrder,78
stock report for 2016-11 category   dairy products id category   4 product units sold units in stock unit price queso cabrales 36 22 21 gorgonzola telino 120 0 12 5 camembert pierrot 143 19 34 gudbrandsdalsost 68 26 36 flotemysost 5 26 21 5,report,43
stock report for 2017-11 category   produce id category   7 product units sold units in stock unit price tofu 21 35 23 25 rössle sauerkraut 25 26 45 6 manjimup dried apples 30 20 53 longlife tofu 5 4 10,report,39
"order id  10645 shipping details  ship name  hanari carnes ship address  rua do paço, 67 ship city  rio de janeiro ship region  south america ship postal code  05454-876 ship country  brazil customer details  customer id  hanar customer name  hanari carnes employee details  employee name  margaret peacock shipper details  shipper id  1 shipper name  speedy express order details  order date  2017-08-26 shipped date  2017-09-02 products  -------------------------------------------------------------------------------------------------- product  carnarvon tigers quantity  20 unit price  62 5 total  1250 0 -------------------------------------------------------------------------------------------------- product  inlagd sill quantity  15 unit price  19 0 total  285 0 total price  total price  1535 0",ShippingOrder,96
invoice order id  10424 customer id  merep order date  2017-01-23 customer details  contact name  jean fresnière address  43 rue st. laurent city  montréal postal code  h1j 1c3 country  canada phone   514  555-8054 fax   514  555-8055 product details  product id product name quantity unit price 35 steeleye stout 60 14 4 38 côte de blaye 49 210 8 68 scottish longbreads 30 10 0 totalprice 11493 2 page 1,invoice,68
order id  10383 shipping details  ship name  around the horn ship address  brook farm stratford st. mary ship city  colchester ship region  british isles ship postal code  co7 6jx ship country  uk customer details  customer id  arout customer name  around the horn employee details  employee name  laura callahan shipper details  shipper id  3 shipper name  federal shipping order details  order date  2016-12-16 shipped date  2016-12-18 products  -------------------------------------------------------------------------------------------------- product  konbu quantity  20 unit price  4 8 total  96 0 -------------------------------------------------------------------------------------------------- product  valkoinen suklaa quantity  15 unit price  13 0 total  195 0 -------------------------------------------------------------------------------------------------- product  gnocchi di nonna alice quantity  20 unit price  30 4 total  608 0 total price  total price  899 0,ShippingOrder,112
invoice order id  10319 customer id  tortu order date  2016-10-02 customer details  contact name  miguel angel paolino address  avda. azteca 123 city  méxico d.f. postal code  05033 country  mexico phone   5  555-2933 fax  none product details  product id product name quantity unit price 17 alice mutton 8 31 2 28 rössle sauerkraut 14 36 4 76 lakkalikööri 30 14 4 totalprice 1191 2 page 1,invoice,65
invoice order id  10737 customer id  vinet order date  2017-11-11 customer details  contact name  paul henriot address  59 rue de l abbaye city  reims postal code  51100 country  france phone  26 47 15 10 fax  26 47 15 11 product details  product id product name quantity unit price 13 konbu 4 6 0 41 jack s new england clam chowder 12 9 65 totalprice 139 8 page 1,invoice,68
purchase orders order id order date customer name 10582 2017-06-27 hanna moos products product id  product  quantity  unit price  57 ravioli angelo 4 19 5 76 lakkalikööri 14 18 page 1,purchase Order,31
purchase orders order id order date customer name 10431 2017-01-30 elizabeth lincoln products product id  product  quantity  unit price  17 alice mutton 50 31 2 40 boston crab meat 50 14 7 47 zaanse koeken 30 7 6 page 1,purchase Order,40
"invoice order id  10783 customer id  hanar order date  2017-12-18 customer details  contact name  mario pontes address  rua do paço, 67 city  rio de janeiro postal code  05454-876 country  brazil phone   21  555-0091 fax   21  555-8765 product details  product id product name quantity unit price 31 gorgonzola telino 10 12 5 38 côte de blaye 5 263 5 totalprice 1442 5 page 1",invoice,63
invoice order id  10554 customer id  ottik order date  2017-05-30 customer details  contact name  henriette pfalzheim address  mehrheimerstr. 369 city  köln postal code  50739 country  germany phone  0221-0644327 fax  0221-0765721 product details  product id product name quantity unit price 16 pavlova 30 17 45 23 tunnbröd 20 9 0 62 tarte au sucre 20 49 3 77 original frankfurter grüne soße 10 13 0 totalprice 1819 5 page 1,invoice,69
purchase orders order id order date customer name 10490 2017-03-31 carlos hernández products product id  product  quantity  unit price  59 raclette courdavault 60 44 68 scottish longbreads 30 10 75 rhönbräu klosterbier 36 6 2 page 1,purchase Order,37
purchase orders order id order date customer name 10784 2017-12-18 giovanni rovelli products product id  product  quantity  unit price  36 inlagd sill 30 19 39 chartreuse verte 2 18 72 mozzarella di giovanni 30 34 8 page 1,purchase Order,38
stock report for 2018-02 category   grains cereals id category   5 product units sold units in stock unit price tunnbröd 80 61 9 singaporean hokkien fried mee 25 26 14 filo mix 14 38 7 gnocchi di nonna alice 37 21 38 ravioli angelo 20 36 19 5 wimmers gute semmelknödel 35 22 33 25,report,54
order id  10561 shipping details  ship name  folk och fä hb ship address  åkergatan 24 ship city  bräcke ship region  northern europe ship postal code  s-844 67 ship country  sweden customer details  customer id  folko customer name  folk och fä hb employee details  employee name  andrew fuller shipper details  shipper id  2 shipper name  united package order details  order date  2017-06-06 shipped date  2017-06-09 products  -------------------------------------------------------------------------------------------------- product  gula malacca quantity  10 unit price  19 45 total  194 5 -------------------------------------------------------------------------------------------------- product  manjimup dried apples quantity  50 unit price  53 0 total  2650 0 total price  total price  2844 5,ShippingOrder,98
invoice order id  10503 customer id  hungo order date  2017-04-11 customer details  contact name  patricia mckenna address  8 johnstown road city  cork postal code  none country  ireland phone  2967 542 fax  2967 3333 product details  product id product name quantity unit price 14 tofu 70 23 25 65 louisiana fiery hot pepper sauce 20 21 05 totalprice 2048 5 page 1,invoice,61
